capacity_bytes,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_raw,smart_16_raw,smart_17_raw,smart_22_normalized,smart_22_raw,smart_24_normalized,smart_168_raw,smart_170_raw,smart_173_raw,smart_174_raw,smart_177_normalized,smart_177_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_218_raw,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_225_normalized,smart_225_raw,smart_226_raw,smart_231_raw,smart_232_raw,smart_233_raw,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_raw,smart_242_raw,smart_241_normalized,smart_242_normalized,smart_254_normalized,smart_12_normalized,smart_250_raw,smart_251_raw,smart_235_normalized,smart_23_normalized,true_label,predicted_label,is_misclassification,probabilities,Entropy Calculator,LIME Trust Calculator (100) - Sum,LIME Trust Calculator (100) - Intercept,LIME Trust Calculator (100) - Pred,SHAP Trust Calculator (100),Trust Calculator on 19 Neighbors - Trust,Trust Calculator on 19 Neighbors - Detail,External Calculator (NaiveBayes),Combined Calculator (XGBoost),Multiple Combined Calculator (3 classifiers),Confidence Interval (0.9999%)
6001180000000.0,116,114263472,0,0,87,0,100,17,100,0,94,3025899329.0,0,0,51,43226,100,0,0,0,16,0,0,0,0,0,0,0,0.0,0,0,0,100,0,100,0,100,0,100,0.0,91,9,75,25,83,34404,100,0,4,192412,25,25,65,114263472,0,0,100,0,100,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,100,42452.0,68541966016.0,257615000000.0,0,0,0,0,0,0,0,0,normal,normal,0,[0.1 0.9],0.5310044064107188,0.6157421671655285,0.22511032953143834,0.8408524966969675,0.0,1.0,"[('normal', 19)]",0.7893497650017042,0.7010106406600598,-0.05485851682964835,61
8001560000000.0,83,197804128,0,0,92,0,100,6,100,0,91,1384878520.0,0,0,73,23660,100,0,0,0,5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,100,0,100,0,100,4295032833.0,100,0,75,25,97,6139,100,8,87,27825,25,25,83,197804128,0,0,100,0,100,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,100,23623.0,58744982936.0,197950000000.0,0,0,0,0,0,0,0,0,normal,normal,0,[0.2 0.8],0.2780719051126377,0.8002554080628677,-0.05316112023433084,0.7470942878285373,0.11599999999999999,0.8421052631578947,"[('normal', 16), ('fail', 3)]",0.8681624735451293,0.4540918444277712,-0.03306636365831783,59
14000500000000.0,100,0,100,0,100,8017,100,5,100,0,100,0.0,100,0,91,3675,100,0,0,0,4,0,0,0,0,100,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,100,3,100,3,100,73,100,27,0,0,100,0,100,1,100,0,200,0,0,0,0,18219009,92,3513,100,0,0,0,582,0.0,0.0,0,0.0,100,0.0,0.0,0.0,0,0,0,0,0,0,0,0,fail,fail,0,[0.8 0.2],0.2780719051126377,-0.07660092185296585,0.37476098365903066,0.2981600618060648,0.716,0.21052631578947367,"[('normal', 15), ('fail', 4)]",0.6474116148049092,0.44617722677010974,-0.0007028131944729251,61
4000790000000.0,100,0,134,100,100,429,100,8,100,0,100,0.0,113,42,97,27288,100,0,0,0,8,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,100,312,100,312,157,38,0,0,100,0,100,0,100,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,normal,normal,0,[0. 1.],1.0,1.2379539839026406,-0.3874042942828461,0.8505496896197944,-0.08400000000000002,1.0,"[('normal', 19)]",0.7261669702521765,0.9872451573610306,-0.12451235466218351,58
12000100000000.0,83,208981368,0,0,99,0,100,1,100,0,64,2569027.0,0,0,99,1371,100,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,100,0,100,0.0,0,0,78,22,0,0,100,0,97,6690,22,22,11,208981368,0,0,100,0,100,0,200,2,100,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,100,229.0,665161176.0,276305934.0,0,0,0,0,0,0,0,0,normal,normal,0,[0. 1.],1.0,0.9550667002018971,-0.12987676061437542,0.8251899395875211,0.0,1.0,"[('normal', 19)]",0.6265335365871381,0.9870832487940788,-0.11596163179818564,62
4000790000000.0,112,48195512,0,0,91,0,100,15,100,0,83,205111475.0,0,0,54,41056,100,0,0,0,15,0,0,0,0,0,0,0,0.0,0,0,0,100,0,100,0,100,0,100,0.0,100,0,80,20,100,0,100,0,82,37865,20,20,0,0,0,0,100,0,100,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,100,40710.0,63869779712.0,214551000000.0,0,0,0,0,0,0,0,0,normal,normal,0,[0.1 0.9],0.5310044064107188,1.099806566574383,-0.22315387027200995,0.8766526963023735,0.01599999999999998,0.7368421052631579,"[('normal', 14), ('fail', 5)]",0.7950200434346182,0.6837593726308469,-0.06258221468452672,60
12000100000000.0,82,172265264,0,0,95,0,100,4,100,0,87,555424106.0,0,0,85,13191,100,0,0,0,4,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,100,0,100,0.0,0,0,76,24,0,0,100,167,99,2601,24,24,82,172265264,0,0,100,0,100,0,200,0,100,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,100,12291.0,52873496040.0,105014000000.0,0,0,0,0,0,0,0,0,normal,normal,0,[0. 1.],1.0,0.8847825365148145,-0.15486515649850852,0.7299173800163058,-0.08400000000000002,0.8421052631578947,"[('normal', 16), ('fail', 3)]",0.643812255664157,0.9859093129634857,-0.11350205189245659,61
12000100000000.0,80,92786248,0,0,93,0,100,6,100,0,86,426803475.0,0,0,88,10948,100,0,0,0,6,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,100,0,100,0.0,0,0,69,31,0,0,100,130,100,1277,31,31,80,92786248,0,0,100,0,100,0,200,0,100,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,100,10614.0,45697925624.0,135547000000.0,0,0,0,0,0,0,0,0,normal,normal,0,[0. 1.],1.0,0.8488569932040179,-0.12323486692736635,0.7256221262766516,-0.08400000000000002,0.8421052631578947,"[('normal', 16), ('fail', 3)]",0.6510745070633085,0.9827124364674091,-0.1199081838773632,61
4000790000000.0,100,0,133,104,100,411,100,9,100,0,100,0.0,113,42,97,25900,100,0,0,0,9,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,100,311,100,311,253,22,0,0,100,0,100,0,100,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,normal,normal,0,[0. 1.],1.0,0.6378399806363682,0.21256865540558378,0.8504086360419522,0.0,1.0,"[('normal', 19)]",0.7261669702459803,0.9939957712776959,-0.1251945678412318,59
12000100000000.0,81,117254856,0,0,94,0,100,5,99,4984,86,432164906.0,0,0,78,19764,100,0,0,0,4,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,99,1,100,0.0,0,0,72,28,0,0,100,268,100,906,28,28,81,117254856,0,0,100,0,100,0,200,0,100,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,100,19651.0,63102189064.0,216556000000.0,0,0,0,0,0,0,0,0,fail,fail,0,[0.8 0.2],0.2780719051126377,-0.19967756751293325,0.36378946008554497,0.16411189257261172,0.716,0.05263157894736842,"[('normal', 18), ('fail', 1)]",0.7130736582016121,0.23017669962663134,0.028264720566624935,59
