true_label,predicted_label,is_misclassification,probabilities,Entropy Calculator,External Calculator (NaiveBayes)
7,7,0,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.0,1.0
2,2,0,[0.1 0.  0.7 0.  0.  0.1 0.1 0.  0.  0. ],0.5915686280099797,1.0
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
0,0,0,[0.9 0.  0.  0.  0.  0.  0.1 0.  0.  0. ],0.8588182584953924,1.0
4,4,0,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.0,1.0
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
4,4,0,[0.  0.  0.  0.  0.8 0.  0.  0.  0.1 0.1],0.7224719895935549,1.0
9,9,0,[0.  0.  0.1 0.  0.1 0.1 0.  0.1 0.  0.6],0.46689075023018617,1.0
5,5,0,[0.1 0.  0.  0.1 0.  0.3 0.2 0.  0.2 0.1],0.263548374681491,1.0
9,9,0,[0.  0.  0.  0.  0.  0.  0.  0.1 0.  0.9],0.8588182584953924,1.0
0,0,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
6,6,0,[0.  0.  0.  0.  0.  0.  0.9 0.  0.1 0. ],0.8588182584953924,1.0
9,9,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.0,1.0
0,0,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
1,1,0,[0.  0.9 0.  0.  0.  0.1 0.  0.  0.  0. ],0.8588182584953924,1.0
5,5,0,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0
9,9,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.0,1.0
7,7,0,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.0,1.0
3,3,0,[0.  0.  0.1 0.4 0.  0.1 0.1 0.  0.3 0. ],0.38396037294708363,1.0
4,4,0,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.0,1.0
9,9,0,[0.  0.  0.  0.  0.  0.  0.  0.1 0.  0.9],0.8588182584953924,1.0
6,6,0,[0.  0.  0.  0.  0.1 0.  0.9 0.  0.  0. ],0.8588182584953924,1.0
6,6,0,[0.  0.  0.  0.  0.1 0.1 0.8 0.  0.  0. ],0.7224719895935549,1.0
5,5,0,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0
4,4,0,[0.  0.  0.1 0.  0.7 0.  0.  0.  0.  0.2],0.651774627142776,1.0
0,0,0,[0.9 0.  0.1 0.  0.  0.  0.  0.  0.  0. ],0.8588182584953924,1.0
7,7,0,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.0,1.0
4,4,0,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.0,1.0
0,0,0,[0.9 0.  0.  0.1 0.  0.  0.  0.  0.  0. ],0.8588182584953924,1.0
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
3,3,0,[0.  0.  0.  0.9 0.  0.1 0.  0.  0.  0. ],0.8588182584953924,1.0
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
3,3,0,[0.  0.  0.  0.9 0.  0.1 0.  0.  0.  0. ],0.8588182584953924,1.0
4,6,1,[0.3 0.  0.1 0.  0.2 0.  0.4 0.  0.  0. ],0.4441663720798799,1.0
7,7,0,[0.  0.2 0.  0.  0.  0.  0.  0.8 0.  0. ],0.7826779887263511,0.9999999999999996
2,2,0,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.0,0.9999969979442741
7,7,0,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.0,1.0
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
2,2,0,[0.  0.  0.4 0.4 0.  0.1 0.  0.  0.1 0. ],0.4816479930623699,1.0
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
7,7,0,[0.  0.  0.  0.  0.1 0.  0.  0.9 0.  0. ],0.8588182584953924,1.0
4,4,0,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.0,1.0
2,2,0,[0.  0.1 0.7 0.  0.  0.  0.  0.1 0.1 0. ],0.5915686280099797,0.9999999999999999
3,3,0,[0.  0.  0.2 0.7 0.  0.  0.  0.1 0.  0. ],0.651774627142776,0.9999999999824697
5,5,0,[0.  0.  0.  0.1 0.  0.7 0.2 0.  0.  0. ],0.651774627142776,0.9999999345272689
1,1,0,[0.  0.7 0.  0.3 0.  0.  0.  0.  0.  0. ],0.7347050044258784,1.0
2,2,0,[0.  0.  0.9 0.  0.  0.  0.1 0.  0.  0. ],0.8588182584953924,1.0
4,4,0,[0.  0.  0.  0.  0.8 0.  0.  0.  0.  0.2],0.7826779887263511,1.0
4,4,0,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.0,0.9999999914306957
6,6,0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.0,1.0
3,3,0,[0.  0.  0.  0.7 0.1 0.2 0.  0.  0.  0. ],0.651774627142776,1.0
5,5,0,[0.  0.  0.  0.1 0.  0.8 0.1 0.  0.  0. ],0.7224719895935549,1.0
5,5,0,[0.  0.  0.  0.3 0.  0.6 0.  0.1 0.  0. ],0.6100271266460848,0.9097950499064917
6,6,0,[0.1 0.1 0.  0.  0.1 0.  0.6 0.  0.  0.1],0.4668907502301861,1.0
0,0,0,[0.8 0.  0.1 0.  0.  0.  0.  0.  0.1 0. ],0.7224719895935549,0.9999660617155822
4,4,0,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.0,0.9999999999988967
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
9,9,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.0,1.0
5,5,0,[0.  0.  0.1 0.1 0.  0.8 0.  0.  0.  0. ],0.7224719895935549,1.0
7,7,0,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.0,1.0
8,8,0,[0.  0.  0.2 0.1 0.1 0.1 0.  0.  0.5 0. ],0.40969100130080555,1.0
9,9,0,[0.  0.  0.  0.  0.2 0.  0.1 0.  0.  0.7],0.651774627142776,1.0
3,2,1,[0.  0.  0.4 0.4 0.  0.  0.1 0.  0.  0.1],0.4816479930623699,1.0
7,7,0,[0.  0.  0.  0.1 0.  0.  0.  0.5 0.2 0.2],0.46989700043360183,1.0
4,4,0,[0.  0.1 0.  0.  0.6 0.  0.  0.  0.  0.3],0.6100271266460848,1.0
6,0,1,[0.3 0.  0.2 0.  0.  0.  0.3 0.  0.2 0. ],0.40668475109738994,1.0
4,4,0,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.0,1.0
3,3,0,[0.  0.  0.1 0.7 0.  0.  0.  0.  0.2 0. ],0.651774627142776,1.0
0,0,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
7,7,0,[0.  0.  0.  0.1 0.  0.  0.  0.9 0.  0. ],0.8588182584953924,1.0
0,0,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
2,2,0,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
9,9,0,[0.  0.  0.  0.  0.1 0.  0.  0.1 0.3 0.5],0.4926213785839081,1.0
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
7,7,0,[0.  0.  0.1 0.  0.  0.  0.  0.7 0.  0.2],0.651774627142776,1.0
3,3,0,[0.  0.  0.  0.9 0.  0.1 0.  0.  0.  0. ],0.8588182584953924,1.0
2,2,0,[0.1 0.  0.6 0.  0.  0.  0.  0.3 0.  0. ],0.6100271266460848,1.0
9,9,0,[0.  0.  0.1 0.  0.  0.  0.  0.  0.3 0.6],0.6100271266460848,1.0
7,7,0,[0.  0.  0.1 0.  0.  0.  0.  0.8 0.  0.1],0.7224719895935549,1.0
7,7,0,[0.  0.  0.  0.  0.1 0.1 0.  0.6 0.1 0.1],0.4668907502301861,1.0
6,6,0,[0.  0.  0.  0.  0.1 0.  0.8 0.  0.1 0. ],0.7224719895935549,1.0
2,2,0,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.0,0.6992689549272486
7,7,0,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.0,1.0
8,8,0,[0.  0.  0.  0.  0.  0.1 0.  0.1 0.7 0.1],0.5915686280099797,1.0
4,4,0,[0.  0.  0.  0.1 0.9 0.  0.  0.  0.  0. ],0.8588182584953924,1.0
7,7,0,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.0,1.0
3,3,0,[0.  0.  0.  0.9 0.  0.1 0.  0.  0.  0. ],0.8588182584953924,1.0
6,6,0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.0,1.0
1,1,0,[0.  0.9 0.  0.  0.1 0.  0.  0.  0.  0. ],0.8588182584953924,1.0
3,3,0,[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.0,1.0
6,6,0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.0,1.0
9,9,0,[0.  0.  0.  0.  0.1 0.  0.  0.1 0.2 0.6],0.5270967493629823,1.0
3,3,0,[0.  0.  0.  0.7 0.  0.  0.  0.  0.1 0.2],0.651774627142776,1.0
1,1,0,[0.  0.9 0.  0.  0.  0.  0.  0.1 0.  0. ],0.8588182584953924,1.0
4,4,0,[0.1 0.  0.1 0.  0.6 0.  0.  0.  0.1 0.1],0.4668907502301861,1.0
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
7,7,0,[0.  0.1 0.  0.1 0.1 0.  0.  0.5 0.2 0. ],0.4096910013008056,1.0
6,6,0,[0.3 0.  0.  0.  0.1 0.  0.6 0.  0.  0. ],0.6100271266460848,1.0
9,9,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.0,1.0
6,6,0,[0.1 0.  0.  0.  0.1 0.  0.7 0.  0.1 0. ],0.5915686280099797,1.0
0,0,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
5,5,0,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0
4,4,0,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.0,1.0
9,9,0,[0.  0.  0.  0.  0.  0.2 0.  0.  0.1 0.7],0.651774627142776,1.0
9,9,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.0,1.0
2,2,0,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.0,0.9999999987858776
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
9,9,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.0,1.0
4,4,0,[0.  0.  0.  0.1 0.6 0.1 0.  0.1 0.  0.1],0.4668907502301861,0.9592988511455306
8,8,0,[0.  0.  0.  0.1 0.  0.  0.  0.  0.9 0. ],0.8588182584953924,1.0
7,7,0,[0.  0.2 0.1 0.  0.  0.  0.  0.6 0.1 0. ],0.5270967493629823,1.0
3,3,0,[0.  0.1 0.  0.6 0.  0.2 0.  0.  0.1 0. ],0.5270967493629823,1.0
9,9,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.0,1.0
7,7,0,[0.  0.  0.1 0.  0.  0.  0.  0.7 0.  0.2],0.651774627142776,1.0
4,4,0,[0.  0.  0.  0.2 0.5 0.  0.1 0.1 0.  0.1],0.40969100130080555,0.9999999999945057
4,4,0,[0.  0.1 0.  0.1 0.8 0.  0.  0.  0.  0. ],0.7224719895935549,1.0
4,4,0,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.0,1.0
9,9,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.0,1.0
2,2,0,[0.  0.  0.6 0.1 0.  0.  0.  0.1 0.1 0.1],0.4668907502301861,1.0
5,5,0,[0.1 0.  0.  0.1 0.  0.8 0.  0.  0.  0. ],0.7224719895935549,1.0
4,4,0,[0.  0.  0.  0.  0.5 0.  0.2 0.  0.2 0.1],0.46989700043360183,0.9999999991735578
7,7,0,[0.  0.  0.  0.1 0.  0.  0.  0.9 0.  0. ],0.8588182584953924,0.9991942487644713
6,6,0,[0.  0.  0.  0.1 0.  0.  0.9 0.  0.  0. ],0.8588182584953924,1.0
7,4,1,[0.  0.1 0.  0.  0.5 0.  0.  0.4 0.  0. ],0.5903089986991944,1.0
9,9,0,[0.  0.  0.  0.  0.1 0.  0.  0.  0.1 0.8],0.7224719895935549,1.0
0,0,0,[0.5 0.  0.1 0.3 0.1 0.  0.  0.  0.  0. ],0.4926213785839081,1.0
5,5,0,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0
8,8,0,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.0,0.9995777125563095
5,5,0,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0
6,6,0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.0,1.0
6,6,0,[0.  0.  0.  0.  0.  0.1 0.9 0.  0.  0. ],0.8588182584953924,1.0
5,5,0,[0.  0.  0.  0.  0.  0.7 0.1 0.  0.2 0. ],0.651774627142776,1.0
7,7,0,[0.  0.  0.1 0.  0.  0.  0.  0.7 0.1 0.1],0.5915686280099797,1.0
8,8,0,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.0,1.0
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
0,0,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,0.9999999999999791
1,1,0,[0.  0.9 0.  0.  0.  0.  0.  0.1 0.  0. ],0.8588182584953924,1.0
6,6,0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.0,1.0
4,4,0,[0.  0.  0.  0.  0.9 0.  0.  0.  0.  0.1],0.8588182584953924,1.0
6,6,0,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.0,1.0
7,7,0,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.0,1.0
3,3,0,[0.  0.  0.3 0.7 0.  0.  0.  0.  0.  0. ],0.7347050044258784,1.0
1,1,0,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1.0
