Protocol, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length 1, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length 2,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,true_label,predicted_label,is_misclassification,probabilities,Entropy Calculator,Trust Calculator on 19 Neighbors - Trust,Trust Calculator on 19 Neighbors - Detail,External Calculator (NaiveBayes),Combined Calculator (XGBoost),Multiple Combined Calculator (3 classifiers),Confidence Interval (0.9999%)
6,2407,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,830.9098463,2407.0,0.0,2407.0,2407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32.0,32.0,415.4549231,415.4549231,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32.0,0,0,0,0,0,0,1,0,1,0,349,1549,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,normal,0,[1. 0. 0. 0. 0.],1.0,0.9473684210526315,"[('normal', 18), ('SCAREWARE_ANDROIDDEFENDER', 1)]",0.5828892301089698,0.9578238835039913,0.19332869380375117,58
6,314954,15,18,981,8442.0,341,0,65.4,106.8127868,1418,0,469.0,620.8046013,29918.65479,104.7772056,9842.3125,18115.11525,81519.0,3.0,233435.0,16673.92857,22304.77321,57979.0,13.0,277563.0,16327.23529,26585.93288,89941.0,3.0,0,0,0,0,488.0,584.0,47.62600253,57.15120303,0,1418,277.1470588,496.1486906,246163.5232,0,0,0,1,0,0,0,0,1,285.5454545,65.4,469.0,488.0,0,0,0,0,0,0,15,981,18,8442,65535,357,8,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,normal,0,[0.8 0.1 0.  0.  0.1],0.6029471813027503,0.8947368421052632,"[('normal', 17), ('RANSOMWARE_SIMPLOCKER', 1), ('SCAREWARE_ANDROIDDEFENDER', 1)]",0.5837801103624605,0.7936513104957437,0.2201971135620636,53
6,43687174,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.045780027,43700000.0,0.0,43700000.0,43700000.0,43700000.0,43700000.0,0.0,43700000.0,43700000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.0,0.0,0.045780027,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,40.0,0,0,0,0,0,0,2,0,0,0,1780,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,normal,0,[1. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",1.0,0.9768888042134848,0.29867157252785853,59
6,12178617,12,11,1182,5179.0,901,0,98.5,258.1502381,1418,0,470.8181818,606.6227523,522.308896,1.888555983,553573.5,2027596.455,9434329.0,11.0,12100000.0,1103817.455,2823242.584,9434329.0,91.0,12100000.0,1214192.9,2992074.717,9540381.0,11.0,0,0,0,0,404.0,360.0,0.985333556,0.903222427,0,1418,265.0416667,479.2128037,229644.9112,0,0,0,1,0,0,0,0,0,276.5652174,98.5,470.8181818,404.0,0,0,0,0,0,0,12,1182,11,5179,65535,362,4,32,2707663.0,0.0,2707663.0,2707663.0,9434329.0,0.0,9434329.0,9434329.0,normal,normal,0,[0.9 0.1 0.  0.  0. ],0.7980145920013804,0.9473684210526315,"[('normal', 18), ('SCAREWARE_ANDROIDDEFENDER', 1)]",0.9999997653731947,0.8944630194601733,0.18617083948691548,51
17,50141,1,1,31,47.0,31,31,31.0,0.0,47,47,47.0,0.0,1555.613171,39.8875172,50141.0,0.0,50141.0,50141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32.0,32.0,19.9437586,19.9437586,31,47,36.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,54.5,31.0,47.0,32.0,0,0,0,0,0,0,1,31,1,47,-1,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,normal,0,[1. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.5828075527745559,0.9566098761589379,0.20008765740471793,59
6,223494,2,2,1059,336.0,1059,0,529.5,748.8260813,336,0,168.0,237.5878785,6241.778303,17.89757219,74498.0,50290.32212,132433.0,42100.0,223494.0,223494.0,0.0,223494.0,223494.0,42100.0,42100.0,0.0,42100.0,42100.0,1,0,0,0,64.0,64.0,8.948786097,8.948786097,0,1059,490.8,536.5246499,287858.7,0,1,0,0,1,0,0,0,1,613.5,529.5,168.0,64.0,0,0,0,0,0,0,2,1059,2,336,1904,541,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,normal,0,[0.9 0.  0.  0.1 0. ],0.7980145920013804,0.9473684210526315,"[('normal', 18), ('ADWARE_KOODOUS', 1)]",0.5847071794456974,0.8970740707748812,0.23551854309100595,54
6,56048840,6,5,858,2724.0,429,0,143.0,221.5346474,1362,0,544.8,745.9981233,63.90854833,0.196257407,5604884.0,17400000.0,55100000.0,544.0,56000000.0,11200000.0,24500000.0,55100000.0,544.0,55800000.0,13900000.0,27600000.0,55300000.0,53835.0,0,0,0,0,140.0,112.0,0.107049495,0.089207912,0,1362,298.5,523.0107769,273540.2727,0,0,0,1,0,0,0,0,0,325.6363636,143.0,544.8,140.0,0,0,0,0,0,0,6,858,5,2724,65535,131,2,20,568422.0,0.0,568422.0,568422.0,55100000.0,0.0,55100000.0,55100000.0,normal,normal,0,[0.7 0.1 0.  0.  0.2],0.5018021221268029,0.8421052631578947,"[('normal', 16), ('SMSMALWARE_FAKEINST', 1), ('SCAREWARE_ANDROIDDEFENDER', 1), ('ADWARE_KOODOUS', 1)]",0.9999999999999997,0.6956325085416035,0.13924128702359587,51
6,818096,7,5,3266,318.0,1460,0,466.5714286,633.8127634,150,0,63.6,74.17074895,4380.903953,14.6682052,74372.36364,120138.7547,262515.0,11.0,553295.0,92215.83333,133451.7673,264753.0,46.0,556413.0,139103.25,159354.556,281908.0,11.0,0,0,0,0,160.0,112.0,8.556453032,6.111752166,0,1460,275.6923077,499.0226088,249023.5641,0,0,0,1,0,0,0,0,0,298.6666667,466.5714286,63.6,160.0,0,0,0,0,0,0,7,3266,5,318,65535,169,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,normal,0,[1. 0. 0. 0. 0.],1.0,0.8947368421052632,"[('normal', 17), ('SCAREWARE_ANDROIDDEFENDER', 1), ('SMSMALWARE_FAKEINST', 1)]",0.5843604441157229,0.985041953978762,0.3362490736134074,55
6,155920,7,10,1606,4686.0,963,0,229.4285714,374.626862,1448,0,468.6,631.8999921,40354.02771,109.0302719,9745.0,12290.94939,32461.0,2.0,129593.0,21598.83333,22030.98275,58155.0,843.0,130686.0,14520.66667,22114.81147,58783.0,2.0,0,0,0,0,232.0,328.0,44.89481786,64.13545408,0,1448,349.5555556,531.4059291,282392.2614,0,0,0,1,0,0,0,0,1,370.1176471,229.4285714,468.6,232.0,0,0,0,0,0,0,7,1606,10,4686,65535,3840,3,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,normal,0,[1. 0. 0. 0. 0.],1.0,0.8947368421052632,"[('normal', 17), ('RANSOMWARE_SIMPLOCKER', 1), ('SMSMALWARE_FAKEINST', 1)]",0.5833803364381085,0.9333436749386206,0.3323585360138326,51
17,31237,1,1,40,98.0,40,40,40.0,0.0,98,98,98.0,0.0,4417.837821,64.02663508,31237.0,0.0,31237.0,31237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32.0,32.0,32.01331754,32.01331754,40,98,59.33333333,33.48631561,1121.333333,0,0,0,0,0,0,0,0,1,89.0,40.0,98.0,32.0,0,0,0,0,0,0,1,40,1,98,-1,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,normal,0,[1. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.5828788549538898,0.976700170656216,0.197352233208527,59
6,60758553,17,30,1152,24333.0,825,0,67.76470588,202.921946,1340,0,811.1,628.9362311,419.4471188,0.773553643,1320838.109,8833146.245,59900000.0,4.0,831831.0,51989.4375,85614.3709,253623.0,104.0,60500000.0,2086686.517,11100000.0,60000000.0,4.0,0,0,0,0,384.0,636.0,0.279795998,0.493757644,0,1340,530.9375,625.9243176,391781.2513,0,0,0,1,0,0,0,0,1,542.2340426,67.76470588,811.1,384.0,0,0,0,0,0,0,17,1152,30,24333,65535,4484,3,20,831831.0,0.0,831831.0,831831.0,59900000.0,0.0,59900000.0,59900000.0,normal,normal,0,[0.9 0.  0.  0.1 0. ],0.7980145920013804,0.6842105263157895,"[('normal', 13), ('SCAREWARE_ANDROIDDEFENDER', 3), ('ADWARE_KOODOUS', 1), ('RANSOMWARE_SIMPLOCKER', 1), ('SMSMALWARE_FAKEINST', 1)]",0.9999993730493423,0.872118959223761,0.1336606468885814,54
17,37706,1,1,37,158.0,37,37,37.0,0.0,158,158,158.0,0.0,5171.590728,53.04195619,37706.0,0.0,37706.0,37706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20.0,20.0,26.52097809,26.52097809,37,158,77.33333333,69.85938257,4880.333333,0,0,0,0,0,0,0,0,1,116.0,37.0,158.0,20.0,0,0,0,0,0,0,1,37,1,158,-1,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,normal,0,[0.8 0.1 0.1 0.  0. ],0.6029471813027503,0.8421052631578947,"[('normal', 16), ('SCAREWARE_ANDROIDDEFENDER', 2), ('RANSOMWARE_SIMPLOCKER', 1)]",0.5829392935767483,0.7228971097988055,0.12688374599791755,59
6,17932,3,2,323,0.0,242,0,107.6666667,123.184144,0,0,0.0,0.0,18012.49164,278.8311399,4483.0,6811.379058,14418.0,25.0,17932.0,8966.0,12644.48346,17907.0,25.0,70.0,70.0,0.0,70.0,70.0,1,0,0,0,96.0,40.0,167.2986839,111.5324559,0,242,94.16666667,118.7306475,14096.96667,0,1,0,0,1,0,0,0,0,113.0,107.6666667,0.0,96.0,0,0,0,0,0,0,3,323,2,0,285,0,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,normal,0,[0.6 0.1 0.2 0.1 0. ],0.3234284050769125,0.8421052631578947,"[('normal', 16), ('SCAREWARE_ANDROIDDEFENDER', 2), ('SMSMALWARE_FAKEINST', 1)]",0.5837107154794069,0.6451644424533415,0.025243673108904918,58
6,1282,3,0,53,0.0,53,0,17.66666667,30.59956427,0,0,0.0,0.0,41341.65367,2340.093604,641.0,824.4865069,1224.0,58.0,1282.0,641.0,824.4865069,1224.0,58.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60.0,0.0,2340.093604,0.0,0,53,13.25,26.5,702.25,0,0,0,0,1,0,0,0,0,17.66666667,17.66666667,0.0,60.0,0,0,0,0,0,0,3,53,0,0,65535,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,normal,0,[0.6 0.1 0.3 0.  0. ],0.44207495180802947,0.8421052631578947,"[('normal', 16), ('RANSOMWARE_SIMPLOCKER', 2), ('SMSMALWARE_FAKEINST', 1)]",0.5852546420932289,0.36946720206731276,0.09516229753011347,57
6,9899936,18,11,3901,3775.0,634,0,216.7222222,282.4680733,539,0,343.1818182,271.6868853,775.3585478,2.929311866,353569.1429,992322.0444,4784237.0,25.0,9899936.0,582349.1765,1234398.572,4784237.0,1095.0,9789530.0,978953.0,1582855.817,4913834.0,25.0,0,0,0,0,404.0,232.0,1.818193572,1.111118294,0,634,255.8666667,279.8675467,78325.84368,0,0,0,1,0,0,0,0,0,264.6896552,216.7222222,343.1818182,404.0,0,0,0,0,0,0,18,3901,11,3775,65535,45,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMSMALWARE_FAKEINST,normal,1,[0.9 0.1 0.  0.  0. ],0.7980145920013804,0.7894736842105263,"[('normal', 15), ('SMSMALWARE_FAKEINST', 3), ('RANSOMWARE_SIMPLOCKER', 1)]",0.586707210297888,0.8791047093246485,0.23838985584173733,54
6,66673872,6,6,3174,1008.0,1058,0,529.0,579.4904658,336,0,168.0,184.0347793,62.72322087,0.179980548,6061261.091,17900000.0,59700000.0,2300.0,66700000.0,13300000.0,26100000.0,59700000.0,93116.0,66600000.0,13300000.0,26100000.0,59700000.0,40837.0,1,0,0,0,192.0,192.0,0.089990274,0.089990274,0,1058,403.0769231,474.6947197,225335.0769,0,1,0,0,1,0,0,0,1,436.6666667,529.0,168.0,192.0,0,0,0,0,0,0,6,3174,6,1008,1859,528,2,32,96033.0,2950.049491,98119.0,93947.0,33200000.0,37400000.0,59700000.0,6726101.0,normal,normal,0,[0.9 0.  0.  0.  0.1],0.7980145920013804,0.8947368421052632,"[('normal', 17), ('SMSMALWARE_FAKEINST', 2)]",1.0,0.8969387205861685,0.22666442106695897,48
