capacity_bytes,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_raw,smart_16_raw,smart_17_raw,smart_22_normalized,smart_22_raw,smart_24_normalized,smart_168_raw,smart_170_raw,smart_173_raw,smart_174_raw,smart_177_normalized,smart_177_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_218_raw,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_225_normalized,smart_225_raw,smart_226_raw,smart_231_raw,smart_232_raw,smart_233_raw,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_raw,smart_242_raw,smart_241_normalized,smart_242_normalized,smart_254_normalized,smart_12_normalized,smart_250_raw,smart_251_raw,smart_235_normalized,smart_23_normalized,true_label,predicted_label,is_misclassification,probabilities,Entropy Calculator,Trust Calculator on 19 Neighbors - Trust,Trust Calculator on 19 Neighbors - Detail,External Calculator (NaiveBayes),Combined Calculator (XGBoost),Multiple Combined Calculator (3 classifiers),Confidence Interval (0.9999%)
12000100000000.0,83,213960056,0,0,96,0,100,3,100,0,87,472411704.0,0,0,98,2536,100,0,0,0,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,100,0,100,0.0,0,0,62,38,0,0,100,12,100,400,38,38,83,213960056,0,0,100,0,100,0,200,0,100,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,100,2447.0,32038650904.0,63878695032.0,0,0,0,0,0,0,0,0,normal,normal,0,[0. 1.],1.0,0.8421052631578947,"[('normal', 16), ('fail', 3)]",0.4208177260462883,0.9039395749568939,0.7126884479643275,47
4000790000000.0,117,132167624,0,0,92,0,100,11,100,0,86,441930611.0,0,0,51,43020,100,0,0,0,11,0,0,0,0,0,0,0,0.0,0,0,0,100,0,100,0,100,0,100,0.0,100,0,80,20,100,0,100,0,75,51788,20,20,0,0,0,0,100,0,100,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,100,42839.0,62492869720.0,216829000000.0,0,0,0,0,0,0,0,0,normal,normal,0,[0. 1.],1.0,0.7894736842105263,"[('normal', 15), ('fail', 4)]",0.27711518967031146,0.8882310166954994,0.6824903732345522,47
4000790000000.0,117,122683608,0,0,91,0,100,13,100,0,81,122680980.0,0,0,59,36639,100,0,0,0,13,0,0,0,0,0,0,0,0.0,0,0,0,100,0,100,0,100,0,100,0.0,100,0,76,24,100,0,100,2,96,9506,24,24,0,0,0,0,100,0,100,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,100,36568.0,57487919928.0,168079000000.0,0,0,0,0,0,0,0,0,normal,normal,0,[0. 1.],1.0,0.9473684210526315,"[('normal', 18), ('fail', 1)]",0.2390400659224473,0.9509965218603611,0.6624595967624827,47
12000100000000.0,100,0,100,0,100,0,100,2,100,0,100,0.0,100,0,99,12169,100,0,0,0,2,0,0,100,100,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,100,452,100,452,222,27,0,0,100,0,100,0,100,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,fail,normal,1,[0. 1.],1.0,0.8421052631578947,"[('normal', 16), ('fail', 3)]",0.47156477746461367,0.9264786764979362,0.7599034721420498,48
12000100000000.0,100,0,130,100,100,0,100,1,100,0,100,0.0,128,18,100,6597,100,0,0,0,1,0,0,100,100,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,100,237,100,237,200,30,0,0,100,0,100,0,100,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,normal,normal,0,[0. 1.],1.0,1.0,"[('normal', 19)]",0.4715647774837165,0.9873366802930832,0.7686277916537811,47
4000790000000.0,100,0,135,96,141,543,100,10,100,0,100,0.0,113,42,97,26078,100,0,0,0,9,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,100,319,100,319,206,29,0,0,100,0,100,0,100,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,normal,normal,0,[0. 1.],1.0,1.0,"[('normal', 19)]",0.30419567454096275,0.9937557242810726,0.6892039566395369,45
12000100000000.0,71,11880152,0,0,98,0,100,2,100,0,85,314472702.0,0,0,89,10440,100,0,0,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,100,0,100,0.0,0,0,71,29,0,0,100,156,100,1855,29,29,71,11880152,0,0,100,0,100,0,200,0,100,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,100,10146.0,52109248984.0,74855882372.0,0,0,0,0,0,0,0,0,normal,normal,0,[0.2 0.8],0.2780719051126377,0.8947368421052632,"[('normal', 17), ('fail', 2)]",0.41765717936499736,0.6130555992009111,0.37678521100218415,45
12000100000000.0,83,222531120,0,0,89,0,100,20,100,0,86,362831108.0,0,0,80,17911,100,0,0,0,19,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,100,0,100,0.0,0,0,72,28,0,0,100,244,100,960,28,28,83,222531120,0,0,100,0,100,0,200,0,100,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,100,17770.0,62958664888.0,216317000000.0,0,0,0,0,0,0,0,0,normal,normal,0,[0.2 0.8],0.2780719051126377,0.8421052631578947,"[('normal', 16), ('fail', 3)]",0.4499102917619616,0.4651342903258272,0.39134999327182723,46
4000790000000.0,100,0,134,100,100,445,100,7,100,0,100,0.0,113,42,96,33932,100,0,0,0,7,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,100,355,100,355,200,30,0,0,100,0,100,0,100,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,normal,normal,0,[0. 1.],1.0,0.9473684210526315,"[('normal', 18), ('fail', 1)]",0.304195674509964,0.9894471587613225,0.6975024116479713,45
4000790000000.0,100,0,135,98,100,321,100,13,100,0,100,0.0,113,42,97,26685,100,0,0,0,12,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,100,292,100,292,230,26,0,0,100,0,100,0,100,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,normal,normal,0,[0. 1.],1.0,1.0,"[('normal', 19)]",0.3041956745389841,0.9669108092784882,0.7008783974993481,48
