Raw Read Error Rate,SpinUpTime,Reallocated Sector Count,Seek Error Rate,Power on Hours,Reported Uncorrectable Error,High Fly Writes,Temperature Celsius,Hardware ECC Recovered,Current Pending Sector,Reallocated Sectors Count,Current Pending Sectors counts,true_label,predicted_label,is_misclassification,probabilities,Entropy Calculator,Trust Calculator on 19 Neighbors - Trust,Trust Calculator on 19 Neighbors - Detail,External Calculator (NaiveBayes),Combined Calculator (XGBoost),Multiple Combined Calculator (3 classifiers),Confidence Interval (0.9999%)
-0.322581,0.62963,-1.0,0.463415,0.578947,-1.0,0.414141,-0.657143,-0.247312,1.0,0.935255,-1.0,fail,fail,0,[0.1 0.9],0.5310044064107188,1.0,"[('fail', 19)]",1.0,0.7505519818009261,0.7623804616954052,10
0.387097,1.0,1.0,0.390244,0.578947,1.0,0.858586,-0.657143,-0.182796,1.0,-0.998582,-1.0,normal,normal,0,[0.9 0.1],0.5310044064107188,1.0,"[('normal', 19)]",0.9999999914567395,0.7621614271269563,0.7432109842960083,9
0.419355,1.0,1.0,0.536585,0.052632,1.0,0.131313,-0.028571,-0.16129,1.0,-0.98535,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999999447,0.9992672441876493,0.9894913646562632,9
0.258065,1.0,0.959596,0.560976,0.052632,1.0,1.0,-0.714286,-0.204301,1.0,-0.952268,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999944414,0.9657668508589268,0.9376189336913283,10
0.225806,1.0,1.0,0.536585,0.052632,1.0,0.717172,-0.657143,-0.075269,1.0,-0.999055,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999954872,0.9993263614596799,0.9503499059097574,10
0.451613,1.0,1.0,0.536585,0.052632,1.0,0.818182,-0.371429,-0.075269,1.0,-0.99811,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999986942,0.999615236883983,0.9722854421464788,10
0.290323,1.0,1.0,0.439024,0.578947,1.0,1.0,-0.542857,-0.182796,1.0,-0.99811,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999990408945,0.9992613866343163,0.9849186923879937,10
0.387097,1.0,-1.0,0.536585,-0.157895,1.0,1.0,-0.657143,-0.182796,1.0,0.935255,-1.0,fail,fail,0,[0.1 0.9],0.5310044064107188,0.9473684210526315,"[('fail', 18), ('normal', 1)]",1.0,0.7554430942477111,0.7040277652434227,10
0.354839,1.0,1.0,0.560976,0.052632,1.0,1.0,-0.657143,-0.053763,1.0,-0.998582,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999962912,0.9982657008804381,0.9500078817811876,10
0.387097,1.0,1.0,0.609756,0.052632,1.0,0.919192,-0.485714,-0.010753,1.0,-1.0,-1.0,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999999999941962,0.9991673541953787,0.9710890105147459,9
