Temperature,Humidity,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Measure9,Measure10,Measure11,Measure12,Measure13,Measure14,Measure15,Hours Since Previous Failure,true_label,predicted_label,is_misclassification,probabilities,Entropy Calculator,Trust Calculator on 19 Neighbors - Trust,Trust Calculator on 19 Neighbors - Detail,External Calculator (NaiveBayes),Combined Calculator (XGBoost),Multiple Combined Calculator (3 classifiers),Confidence Interval (0.9999%)
64,78,1628,1,1,182,495,918,1113,1390,1243,1546,1028,749,198,810,179,310,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.996371112169027,0.9987863437272608,0.9972808778814745,15
66,85,1713,2,2,267,1757,1569,514,1884,444,499,296,806,231,298,1693,365,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9970531091017866,0.9876223197206855,0.9975792439606949,18
63,83,282,1,1,783,1850,227,1740,259,1977,394,843,1834,170,658,1178,91,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9994397554792197,0.9991829910431989,0.9998863323648374,17
64,86,1208,1,2,1749,1290,1208,1616,1049,1095,368,1121,1481,314,900,1676,234,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999072407012839,0.9996987534104846,0.9999652975177998,14
66,93,1675,2,0,611,855,550,1475,1947,847,1427,777,335,856,271,1886,199,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9990514056092171,0.9993361096712761,0.9997975562870517,18
62,93,1361,2,1,950,371,710,285,1186,1583,557,1644,1945,586,1513,1122,324,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999975212590388,0.9996182676695753,0.9999994888038612,16
60,77,582,2,1,558,379,553,786,1607,1513,1532,1165,1399,414,318,1986,270,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9988164323797085,0.9991426677443087,0.9992785412990747,17
61,82,1621,2,0,974,363,778,462,1845,1188,656,470,1463,671,864,1879,12,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9977230253307943,0.9989830598933622,0.9985297011606348,18
67,83,1763,2,1,1170,1582,1414,811,286,1916,703,1780,818,932,258,1515,258,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9979352281565582,0.9984813297633082,0.9990402265825313,17
64,75,1228,0,1,484,1820,1303,1177,1349,1669,1545,1175,1605,1731,846,1535,265,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9699000121019093,0.9969874743837863,0.9884839269581729,16
65,85,493,3,1,1922,1141,1607,1343,1160,372,1845,971,1543,609,1576,208,147,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9993094043674813,0.9996947822510265,0.9996470126222402,17
63,87,1224,2,1,1052,1152,234,1820,1589,1910,945,1602,1952,1650,375,1866,502,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999770074292487,0.9992897209012881,0.9999949401202257,16
64,77,1685,3,2,938,483,208,713,1661,736,1356,1572,1308,1914,628,714,15,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.997935329938394,0.9992690522340126,0.9982608797486048,17
68,88,778,3,2,1555,1663,802,1322,842,1698,1006,1572,925,536,167,368,330,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9998674696693204,0.9997841425793013,0.9999557013816297,18
61,89,1381,1,0,1675,1376,1362,365,629,424,1038,1004,714,868,248,811,58,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9997912026364938,0.9991463623009622,0.9999516506241247,18
61,83,689,3,0,488,1783,1643,1321,211,990,1631,645,1003,869,1156,381,61,normal,normal,0,[1. 0.],1.0,0.8947368421052632,"[('normal', 17), ('Yes', 2)]",0.9976322008672497,0.9995260661526117,0.9995129877448012,17
68,93,605,0,0,1604,1355,1151,1615,2003,806,937,1694,434,1062,908,1792,29,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9981488432412519,0.9991490684915334,0.9996116406768291,17
62,86,1194,1,0,638,904,618,1812,285,517,1166,1253,522,1164,262,1915,437,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9996123838741189,0.9992603214341216,0.9999139820169667,18
64,88,1579,2,0,495,1129,157,363,1822,1783,691,1464,1232,545,212,1297,387,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9998664722622226,0.9992302645696327,0.9999665965386909,17
63,79,631,1,2,1324,666,667,608,1521,1886,710,409,839,1938,1386,380,519,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9977060901507178,0.9989586042938754,0.9993540798541384,18
63,80,1456,1,1,1516,359,1910,1739,517,400,201,368,1464,1642,1016,1608,5,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.979974237792947,0.9772552661597729,0.9938468352193572,17
64,92,1033,0,1,965,1214,1793,461,1547,1431,206,1437,1372,292,774,465,43,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999218979134625,0.9993313559680246,0.9999852036817146,16
64,82,1401,2,1,1817,189,1001,478,1326,1393,1267,422,803,647,783,1540,115,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.994699617595285,0.9994419295690022,0.9952068702840317,16
62,83,1970,2,0,1359,734,955,1224,1814,166,1294,165,795,1359,1193,1731,454,normal,normal,0,[0.9 0.1],0.5310044064107188,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9958679281201092,0.7513888226316694,0.7629810841085135,18
68,83,502,3,1,721,873,940,1643,1957,1204,671,350,1023,941,1077,382,340,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9838435000794404,0.998815568163991,0.9949440450712004,16
61,75,1022,0,2,1244,1173,1427,948,1041,867,1254,1006,200,299,1574,1125,323,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9970665749822308,0.9875165168195963,0.9966951718152708,17
61,79,1156,2,2,776,197,445,1351,1157,1972,1710,1510,1698,369,1453,888,102,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999076553555202,0.9997933660633862,0.9999562233168094,18
63,78,810,1,0,1808,1436,803,1984,1774,1288,1064,1422,264,1595,706,341,119,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.998052756570082,0.9997979694890091,0.9986663054471768,17
68,79,1354,2,1,1842,337,872,1302,1860,1046,864,1266,1499,1807,1997,1497,428,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9592300201916996,0.9962777008768171,0.9808152103323972,16
61,80,1176,1,2,1626,1564,1948,681,167,478,1588,1566,712,1195,445,1101,283,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9994768751529803,0.9987640180625021,0.9997655284441667,17
66,83,708,1,1,1334,971,512,1186,349,456,1409,606,314,1224,408,1586,546,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9682241313526299,0.9953516260720789,0.9929398845657561,17
60,87,1803,2,2,867,544,1202,1968,456,873,1972,1957,1598,878,1198,467,107,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999986866929784,0.9988131521968171,0.9999995614980733,18
65,81,182,3,1,1124,1245,1937,510,590,789,1620,1010,205,1088,1605,577,324,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9935520903554375,0.9977837954647839,0.9956971574401928,16
66,82,965,2,1,1856,1758,516,1628,1291,1333,1076,1103,603,1402,165,1556,59,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.99038362978839,0.9998164891730994,0.997148153549654,15
68,83,403,3,1,1592,422,392,602,1406,628,1215,361,825,1344,979,342,350,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9789398551962427,0.9991644023684785,0.9909758189355191,17
60,82,1821,3,0,446,842,642,215,1450,1621,1485,1645,451,720,1482,1512,214,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.999922037507551,0.9992253957316279,0.9998818356586793,17
60,93,407,0,2,200,1756,1677,1799,475,1723,1455,664,1305,795,1028,1351,311,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999866779336394,0.9996023779094685,0.999997733510297,18
65,75,792,2,1,1843,1875,1003,1308,1426,1689,1793,1465,1712,856,1165,517,268,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9890798532708996,0.9986303162295371,0.9937180726133593,17
64,77,1094,2,2,965,402,1158,1580,668,816,158,566,1128,918,1237,1854,171,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9868037560132107,0.9994878658326343,0.9925975242286005,15
62,85,311,1,0,1846,873,666,1178,1500,999,1846,743,1116,1636,1857,1932,13,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9976386610473801,0.9990214752033353,0.9994314162064847,17
67,75,1789,3,0,1318,629,596,1728,744,275,1308,808,1903,495,773,1902,89,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9180410465723734,0.9941530278883874,0.8081798896996486,18
62,84,1220,1,0,823,1921,821,767,502,1068,404,1442,546,1329,1816,367,204,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9994761593285836,0.9995853988220915,0.9998893741692738,16
66,85,313,3,2,1217,619,525,784,1016,1138,1481,1070,296,606,431,932,233,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9994835715772357,0.9995422553329263,0.9997038953099365,17
68,84,500,1,1,1342,1633,1069,440,1925,367,427,1310,1584,231,277,1306,437,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.992035248324944,0.9976132379379123,0.9970476589609937,16
63,79,432,0,2,992,989,1146,389,833,1918,519,729,565,906,255,525,9,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9977942867221901,0.999837153518456,0.9990479467598968,18
61,80,367,0,2,360,1705,175,883,1971,684,601,1287,1477,1799,184,769,7,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9993038189812418,0.9987500640563667,0.9998569126056704,18
66,81,1323,1,1,797,1622,224,626,367,849,1124,1837,429,971,1162,173,396,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9982974290775817,0.9993823241675273,0.9993018874306608,16
66,83,1641,2,1,1387,1053,1178,324,578,1079,556,1536,1715,590,1760,736,168,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9994402613753701,0.9997333801002242,0.9994710189964976,15
68,80,280,2,0,1322,446,1447,717,1632,1989,1319,742,1508,166,1854,786,261,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9704304015622216,0.9966231777798384,0.9681966457518989,18
67,81,1487,0,0,344,1697,745,1414,1992,230,986,1151,1946,1712,1012,1125,247,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9831421812200348,0.9992649194900878,0.992477600178319,17
60,91,1777,0,0,205,1635,1110,1629,1879,1966,287,1025,1000,1443,1637,1734,244,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999382484040665,0.999351583654061,0.9999894119826008,17
68,85,527,3,2,172,679,615,1858,1539,1412,420,491,974,1237,646,697,175,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9972280722927485,0.9996912707865704,0.9991733044248456,18
69,82,1196,2,1,343,471,628,518,618,232,298,548,1792,343,305,1465,116,normal,normal,0,[0.7 0.3],0.1187091007693073,1.0,"[('normal', 19)]",0.9512927532483852,0.48686537816442355,0.5297921833667866,17
60,75,1212,3,0,1886,705,677,2006,1916,1540,1898,398,1662,1283,1509,1469,136,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9935851777704253,0.9957245718687773,0.995183108674151,18
66,80,1149,3,1,968,1738,1226,1681,661,1358,173,1617,1285,184,1439,1852,232,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9974267652376221,0.9991796865360811,0.9985053156070697,17
73,88,969,3,1,1014,494,1416,364,706,1966,1209,426,797,161,481,612,198,normal,normal,0,[0.6 0.4],0.02904940554533142,1.0,"[('normal', 19)]",0.9124596102719895,0.4794857323618419,0.48381111838465957,17
67,86,271,0,2,1189,1071,1336,984,1200,1506,1772,738,641,1608,1394,948,77,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9951159586795062,0.9946099924854934,0.9985452448402986,17
64,75,477,3,0,1306,434,1135,392,1857,1738,1343,926,1215,1283,587,705,194,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9689476000220382,0.9973039133474231,0.9667504109820472,17
63,83,1928,0,2,1452,1634,1534,658,946,1471,1229,405,315,1311,1040,858,208,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9992380631060174,0.9990518570994027,0.9995920439252233,17
63,84,1420,3,0,955,1330,1031,1444,1182,1176,419,1037,343,1328,185,2006,144,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9990398863225262,0.9998086105770199,0.9995617968361894,18
66,81,922,1,0,1916,1519,1584,796,919,736,1831,1297,1824,1897,712,1670,303,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9910412808918106,0.9990556162083521,0.9924440720350992,18
63,79,594,0,2,1596,1165,554,1187,1161,538,1757,703,779,1059,1825,883,502,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9942348745479084,0.9991782883298583,0.9984623508860584,17
63,80,1857,0,2,339,656,1894,686,1305,818,1281,1772,1541,461,1683,858,223,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.999869114253067,0.9992938690702431,0.9997001521392271,17
65,76,1382,0,1,1552,166,1420,709,326,1039,334,954,1733,1971,1478,1085,333,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9586184673704545,0.9960863692685962,0.9825509619498622,15
65,83,1329,2,0,1516,465,1693,1370,1404,441,1291,1379,912,372,336,428,382,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9984897399486535,0.9987112703965977,0.9986910629004196,18
62,82,1426,3,0,944,639,1644,1928,1154,1933,1821,677,391,232,710,541,443,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9993944070187607,0.9925227407366037,0.9996529315500124,18
68,84,1161,0,1,1084,413,834,1617,1195,718,427,427,1775,687,207,1811,300,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9889844855877868,0.9989894444588572,0.9951592918264769,16
60,75,965,2,0,176,1456,746,1799,1428,1202,1862,1608,1253,226,1563,505,109,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9986497473419337,0.9980968976160511,0.9993438885914679,18
62,82,1525,3,0,597,1741,1285,1124,876,1688,356,1368,651,1301,1907,703,50,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9988543013858049,0.9994639719370753,0.9997256263978542,17
12,79,1975,1,2,958,1945,155,827,1099,1400,451,1694,1998,1885,398,1383,279,normal,normal,0,[0.9 0.1],0.5310044064107188,1.0,"[('normal', 19)]",0.9999357211482862,0.76467403636383,0.2551781142104054,17
66,91,1646,0,0,845,1497,1418,463,1005,2006,1656,1192,1938,1633,1889,1836,203,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.999722005718112,0.99930621025851,0.9999179608264646,18
64,93,176,1,2,698,1090,378,813,218,1953,451,523,1185,631,453,414,217,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999618092970898,0.9997556940070353,0.9999932744842539,15
67,83,1465,2,0,383,1724,935,1602,1637,1211,618,782,193,994,1841,1944,523,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9656073716317528,0.9966114116832614,0.9903622452210108,18
60,81,834,1,2,1619,1949,1607,349,1706,193,1447,181,658,1176,912,1925,133,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9982544978401713,0.9959030947647989,0.9985721849367916,18
67,80,433,1,1,265,548,871,1988,1742,1991,1083,943,580,754,534,1619,18,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9699655672062744,0.9986560663674027,0.9877551222836486,16
71,69,1323,2,2,1339,971,507,1098,1117,1224,170,1033,1107,719,715,1617,593,Yes,Yes,0,[0.3 0.7],0.1187091007693073,0.0,"[('normal', 19)]",0.5645441501259403,0.16606692149556979,0.19750066371190542,15
66,83,773,0,1,335,704,1025,611,882,941,342,959,767,598,1217,1322,331,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9908596931196435,0.9997140516352374,0.9973604393188262,17
63,83,245,0,2,554,586,1372,461,1859,626,1343,835,995,1450,780,542,218,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9993600576871937,0.999436539481394,0.9997415298122867,17
60,81,797,3,2,536,1407,974,344,816,225,1480,366,409,721,1844,503,518,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9995751790444865,0.9982838041614741,0.9998172835634703,18
62,90,1818,1,2,994,436,1254,1564,442,1159,1346,1219,1288,1215,1927,545,268,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999873489983577,0.997927381657064,0.9999974633385728,18
65,83,1696,1,1,1338,247,1714,1302,767,1124,385,702,858,552,986,1568,122,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9906645972936511,0.9991153512964956,0.9966058948781412,17
68,91,1845,2,1,491,786,1538,1540,1485,613,1042,770,459,1694,1362,1179,231,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9962576332408357,0.9957556999288499,0.9991856751677326,17
67,80,1047,0,0,1205,662,1039,1355,1491,871,1305,1251,238,1969,1301,304,175,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.981076860287829,0.999624619318638,0.9831303476224201,17
63,84,305,1,0,1243,1062,257,1586,1639,300,155,269,1280,861,907,481,61,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9968776561625947,0.999411303550005,0.9993199150488605,17
61,86,1410,2,0,1925,450,955,1869,627,384,1372,627,711,789,1030,1937,119,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9995679934123161,0.9987776126945391,0.9998271438442706,18
61,85,1904,2,1,1128,1123,649,1333,440,1091,1131,1366,341,237,1817,1775,309,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999335826090926,0.9965283870697021,0.999974011500148,16
67,81,1612,2,1,1991,273,1543,1438,1414,930,446,186,1361,611,1100,966,95,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.964945450755506,0.9965279442258179,0.9749617477833633,16
62,86,1138,1,0,1396,900,1840,366,418,745,804,1278,517,835,1201,244,206,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9997751673827222,0.9995171348273288,0.9999140667935467,17
64,85,1605,2,2,1068,528,165,1964,307,898,1499,1930,1004,419,233,800,155,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999824482117917,0.9996238570311107,0.9999901451278497,16
63,85,708,1,2,1654,290,1120,1918,1223,238,1327,941,330,289,235,1876,258,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9998791828203722,0.9986183879664168,0.999873818753748,18
60,83,882,3,1,1177,1161,1098,1223,1175,747,1403,359,272,977,1925,1625,81,normal,normal,0,[1. 0.],1.0,0.8421052631578947,"[('normal', 16), ('Yes', 3)]",0.9991134845619631,0.9982477156445384,0.9996564009099705,16
62,81,385,2,2,1451,1323,164,253,1398,1379,1120,1824,1293,1703,699,1683,408,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999472538609734,0.9995899406494573,0.9999701332773524,17
