Duration,Fwd_Status,Serv_Type,Pkt_Exchanged,Byte_Exchanged,true_label,predicted_label,is_misclassification,probabilities,Entropy Calculator,Trust Calculator on 19 Neighbors - Trust,Trust Calculator on 19 Neighbors - Detail,External Calculator (NaiveBayes),Combined Calculator (XGBoost),Multiple Combined Calculator (3 classifiers),Confidence Interval (0.9999%)
3.008,0,0,2,120,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9556080232954317,0.9989349245935824,0.27685371029359346,4
0.0,0,0,1,168,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9836117977989153,0.9978957970751772,0.24962992570034612,4
2.892,0,0,2,96,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9580386923793147,0.9993038835617127,0.27586447945562553,4
0.0,0,0,1,44,scan44,scan44,0,[0.01717898 0.98282102 0.         0.         0.         0.        ],0.9515296952184099,1.0,"[('scan44', 19)]",0.9866008044796654,0.9494508137319719,-0.18860694530620178,4
5.028,0,0,8,989,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.602495254683571,0.9997438289392231,0.34150594205549895,2
1.116,0,0,9,1132,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.7139343818187488,0.9996844961653386,0.31767680125003506,3
0.0,0,0,1,44,scan44,scan44,0,[0.01717898 0.98282102 0.         0.         0.         0.        ],0.9515296952184099,1.0,"[('scan44', 19)]",0.9866008044796654,0.9494508137319719,-0.18860694530620178,4
2.004,0,64,10,446,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,0.8947368421052632,"[('normal', 17), ('anomaly-spam', 2)]",0.9999117033093443,0.997022381267656,0.9718303741928738,3
4.42,0,0,2,378,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.4341770064201733,0.9993670375607173,0.3677249148665677,3
0.0,0,0,1,40,dos,scan44,1,[0.28630299 0.46810973 0.24558729 0.         0.         0.        ],0.40939050014830997,1.0,"[('scan44', 19)]",0.9722502957211441,0.40457205616093594,0.19827765337799583,4
12.308,0,0,45,4937,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",1.0,0.9997582875041051,0.8559893719003312,3
0.264,0,72,2,196,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9999982850743665,0.9992816335463282,0.9739720077137018,4
15.032,0,0,5,300,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,0.5263157894736842,"[('normal', 10), ('nerisbotnet', 9)]",0.9999999999590576,0.9992809656684682,0.2790048408879021,4
0.0,0,0,1,136,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9861074758317308,0.9940250491947981,0.24743206331208434,4
1.268,0,0,9,3292,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.7153903771294733,0.9997645528334321,0.894671269959607,2
0.0,0,0,1,66,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9845541217666204,0.9919991997369373,0.23424461203446634,4
0.0,0,0,1,77,normal,normal,0,[0.87191457 0.         0.         0.         0.         0.12808543],0.7863938078218504,1.0,"[('normal', 19)]",0.9854309781005031,0.7956832704380652,0.2069293936166459,4
0.0,0,72,2,80,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9999967129344679,0.9987576048682598,0.9736627154174448,4
4.26,0,40,8,1003,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.8776023407887251,0.9998160270988146,0.31787254950250254,2
4.072,0,0,55,3097,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",1.0,0.999765252776635,0.9404740098071495,2
0.284,0,0,4,915,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.5378626192926491,0.9992393055822599,0.3434367893753206,4
0.0,0,0,1,130,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9862948286600085,0.9945311534362193,0.24705005278778921,4
0.0,0,72,2,80,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9999967129344679,0.9987576048682598,0.9736627154174448,4
2.692,0,0,173,241819,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",1.0,0.9997292794925123,0.9600888252087696,4
2.92,0,0,2,96,normal,normal,0,[1. 0. 0. 0. 0. 0.],1.0,1.0,"[('normal', 19)]",0.9573315279714962,0.9988385491428766,0.2760519069679014,4
